x,y,longitude,latitude,area
13692,2039,762573.899,3354392.56,16.5
13437,2027,762446.399,3354398.56,18.0
13426,2018,762440.899,3354403.06,12.0
13542,1982,762498.899,3354421.06,11.5
13636,1968,762545.899,3354428.06,12.0
14189,1966,762822.399,3354429.06,10.5
13561,1959,762508.399,3354432.56,14.0
14277,1956,762866.399,3354434.06,16.0
13903,1953,762679.399,3354435.56,25.0
14298,1938,762876.899,3354443.06,17.0
14281,1926,762868.399,3354449.06,14.0
13933,1897,762694.399,3354463.56,13.5
13810,1859,762632.899,3354482.56,18.0
13988,1851,762721.899,3354486.56,22.0
14088,1819,762771.899,3354502.56,14.0
13575,1805,762515.399,3354509.56,16.5
12829,1761,762142.399,3354531.56,16.5
13502,1694,762478.899,3354565.06,15.0
14037,1692,762746.399,3354566.06,22.5
13528,1683,762491.899,3354570.56,11.0
13658,1650,762556.899,3354587.06,21.0
14276,1495,762865.899,3354664.56,12.5
14132,1358,762793.899,3354733.06,18.0
13563,1299,762509.399,3354762.56,15.5
13126,1269,762290.899,3354777.56,13.0
12329,1174,761892.399,3354825.06,22.0
12450,1112,761952.899,3354856.06,13.0
13342,1037,762398.899,3354893.56,11.5
12838,1027,762146.899,3354898.56,25.0
12814,981,762134.899,3354921.56,10.5
13793,941,762624.399,3354941.56,12.5
12643,801,762049.399,3355011.56,10.5
13137,715,762296.399,3355054.56,11.0
13871,653,762663.399,3355085.56,14.5
13538,644,762496.899,3355090.06,11.5
13586,458,762520.899,3355183.06,11.5
14182,434,762818.899,3355195.06,18.0
13507,419,762481.399,3355202.56,11.5
13211,412,762333.399,3355206.06,10.5
12911,397,762183.399,3355213.56,11.0
13287,341,762371.399,3355241.56,11.0
12452,326,761953.899,3355249.06,11.0
13071,256,762263.399,3355284.06,14.5
13325,246,762390.399,3355289.06,14.5
13900,153,762677.899,3355335.56,10.5
13089,140,762272.399,3355342.06,11.0
13345,130,762400.399,3355347.06,13.0
18681,1388,765068.399,3354718.06,15.0
20429,1322,765942.399,3354751.06,11.5
20446,1320,765950.899,3354752.06,24.5
19955,1179,765705.399,3354822.56,23.0
19047,652,765251.399,3355086.06,17.5
18736,486,765095.899,3355169.06,20.5
18709,443,765082.399,3355190.56,14.0
18641,305,765048.399,3355259.56,13.5
18483,213,764969.399,3355305.56,14.0
18656,197,765055.899,3355313.56,11.0
8743,4086,760099.399,3353369.06,41.5
8780,4084,760117.899,3353370.06,27.5
8811,4055,760133.399,3353384.56,24.0
8846,4054,760150.899,3353385.06,19.0
8660,4052,760057.899,3353386.06,14.5
8646,4046,760050.899,3353389.06,27.0
9229,4042,760342.399,3353391.06,15.5
9356,4036,760405.899,3353394.06,16.5
8725,4018,760090.399,3353403.06,29.5
8703,4015,760079.399,3353404.56,10.5
9042,4010,760248.899,3353407.06,15.0
9281,4003,760368.399,3353410.56,32.5
8893,3966,760174.399,3353429.06,11.0
8820,3955,760137.899,3353434.56,11.0
9126,3934,760290.899,3353445.06,11.0
8811,3931,760133.399,3353446.56,12.5
9262,3923,760358.899,3353450.56,18.0
8718,3924,760086.899,3353450.06,37.0
8772,3920,760113.899,3353452.06,10.5
9082,3918,760268.899,3353453.06,17.0
9083,3909,760269.399,3353457.56,12.5
8734,3909,760094.899,3353457.56,16.0
8683,3903,760069.399,3353460.56,22.0
8977,3883,760216.399,3353470.56,59.5
9392,3879,760423.899,3353472.56,35.5
9056,3849,760255.899,3353487.56,16.0
8913,3845,760184.399,3353489.56,11.5
8854,3846,760154.899,3353489.06,35.0
8888,3841,760171.899,3353491.56,12.5
8719,3838,760087.399,3353493.06,32.0
8892,3828,760173.899,3353498.06,13.5
9230,3719,760342.899,3353552.56,11.5
9457,3658,760456.399,3353583.06,11.0
8879,3643,760167.399,3353590.56,18.5
9243,3583,760349.399,3353620.56,14.0
10041,3573,760748.399,3353625.56,11.5
8540,3500,759997.899,3353662.06,13.5
10235,2753,760845.399,3354035.56,26.5
9775,2555,760615.399,3354134.56,16.5
9679,2320,760567.399,3354252.06,18.0
9688,2318,760571.899,3354253.06,16.5
8330,2064,759892.899,3354380.06,10.5
8860,6140,760157.899,3352342.06,11.0
9203,6138,760329.399,3352343.06,15.0
8213,6139,759834.399,3352342.56,14.0
8193,6139,759824.399,3352342.56,12.5
8777,6139,760116.399,3352342.56,27.5
8199,6134,759827.399,3352345.06,17.5
9780,6130,760617.899,3352347.06,19.5
9741,6129,760598.399,3352347.56,17.5
10129,6128,760792.399,3352348.06,16.5
9261,6102,760358.399,3352361.06,31.0
10162,6101,760808.899,3352361.56,22.0
9081,6105,760268.399,3352359.56,51.5
8618,6100,760036.899,3352362.06,23.0
9165,6095,760310.399,3352364.56,31.5
9079,6093,760267.399,3352365.56,31.0
8380,6093,759917.899,3352365.56,33.5
8986,6092,760220.899,3352366.06,18.0
9456,6089,760455.899,3352367.56,19.5
9447,6087,760451.399,3352368.56,40.5
8978,6085,760216.899,3352369.56,22.5
9375,6085,760415.399,3352369.56,21.0
9393,6083,760424.399,3352370.56,18.0
9755,6077,760605.399,3352373.56,13.5
9434,6076,760444.899,3352374.06,11.5
9782,6074,760618.899,3352375.06,10.5
9014,6074,760234.899,3352375.06,19.5
8792,6073,760123.899,3352375.56,14.0
9215,6069,760335.399,3352377.56,13.5
9102,6066,760278.899,3352379.06,18.0
10020,6066,760737.899,3352379.06,15.5
9385,6065,760420.399,3352379.56,14.0
9279,6066,760367.399,3352379.06,39.5
8995,6063,760225.399,3352380.56,11.0
9157,6055,760306.399,3352384.56,10.5
8809,6055,760132.399,3352384.56,12.5
8405,6053,759930.399,3352385.56,21.5
9910,6052,760682.899,3352386.06,11.5
8757,6049,760106.399,3352387.56,14.5
9533,6048,760494.399,3352388.06,14.0
10186,6045,760820.899,3352389.56,10.5
9913,6046,760684.399,3352389.06,10.5
9831,6046,760643.399,3352389.06,37.5
9201,6045,760328.399,3352389.56,13.0
8827,6044,760141.399,3352390.06,18.0
8796,6043,760125.899,3352390.56,18.5
9431,6044,760443.399,3352390.06,24.5
9830,6038,760642.899,3352393.06,10.5
9098,6039,760276.899,3352392.56,15.5
8763,6039,760109.399,3352392.56,19.0
9710,6038,760582.899,3352393.06,10.5
8848,6038,760151.899,3352393.06,26.0
9539,6034,760497.399,3352395.06,14.0
8745,6034,760100.399,3352395.06,15.5
9861,6033,760658.399,3352395.56,35.5
9935,6030,760695.399,3352397.06,15.0
9770,6027,760612.899,3352398.56,10.5
8812,6028,760133.899,3352398.06,25.0
9721,6025,760588.399,3352399.56,11.5
9146,6025,760300.899,3352399.56,17.5
8894,6025,760174.899,3352399.56,14.5
8788,6026,760121.899,3352399.06,18.0
9126,6025,760290.899,3352399.56,18.0
9754,6024,760604.899,3352400.06,21.0
9890,6024,760672.899,3352400.06,19.5
9615,6021,760535.399,3352401.56,18.0
9847,6020,760651.399,3352402.06,24.5
9080,6018,760267.899,3352403.06,13.5
9904,6017,760679.899,3352403.56,12.5
9202,6019,760328.899,3352402.56,18.0
9111,6019,760283.399,3352402.56,40.5
9542,6016,760498.899,3352404.06,11.0
10184,6015,760819.899,3352404.56,22.0
9778,6015,760616.899,3352404.56,11.5
8801,6013,760128.399,3352405.56,11.0
8526,6013,759990.899,3352405.56,10.5
8816,6013,760135.899,3352405.56,20.0
10117,6012,760786.399,3352406.06,16.0
9948,6013,760701.899,3352405.56,37.0
9411,6010,760433.399,3352407.06,15.0
9060,6012,760257.899,3352406.06,24.5
9901,6010,760678.399,3352407.06,13.0
8974,6010,760214.899,3352407.06,20.5
9858,6010,760656.899,3352407.06,25.5
9969,6008,760712.399,3352408.06,44.0
8589,6007,760022.399,3352408.56,17.5
9885,6005,760670.399,3352409.56,26.5
10222,6000,760838.899,3352412.06,21.0
9748,6001,760601.899,3352411.56,16.5
8983,6001,760219.399,3352411.56,16.5
9864,5996,760659.899,3352414.06,22.5
9367,5994,760411.399,3352415.06,17.0
9022,5993,760238.899,3352415.56,14.5
8726,5993,760090.899,3352415.56,14.0
9193,5990,760324.399,3352417.06,12.0
9906,5989,760680.899,3352417.56,13.0
8703,5989,760079.399,3352417.56,13.5
8966,5987,760210.899,3352418.56,17.5
9105,5986,760280.399,3352419.06,12.0
9886,5985,760670.899,3352419.56,13.5
8721,5984,760088.399,3352420.06,12.5
9561,5981,760508.399,3352421.56,26.0
9247,5978,760351.399,3352423.06,12.0
9298,5977,760376.899,3352423.56,14.0
8726,5977,760090.899,3352423.56,15.0
9971,5977,760713.399,3352423.56,27.0
9763,5976,760609.399,3352424.06,16.0
8591,5975,760023.399,3352424.56,15.0
8424,5975,759939.899,3352424.56,16.5
9288,5973,760371.899,3352425.56,16.0
8759,5973,760107.399,3352425.56,13.0
9101,5972,760278.399,3352426.06,11.0
9862,5971,760658.899,3352426.56,16.0
9315,5970,760385.399,3352427.06,16.5
9156,5969,760305.899,3352427.56,11.0
9826,5969,760640.899,3352427.56,42.5
9556,5968,760505.899,3352428.06,27.0
8435,5965,759945.399,3352429.56,12.5
8714,5965,760084.899,3352429.56,14.0
10142,5961,760798.899,3352431.56,21.5
9688,5961,760571.899,3352431.56,15.0
9272,5964,760363.899,3352430.06,24.0
8461,5961,759958.399,3352431.56,12.5
9821,5960,760638.399,3352432.06,15.0
10056,5962,760755.899,3352431.06,28.5
9893,5959,760674.399,3352432.56,18.0
9918,5959,760686.899,3352432.56,22.5
10177,5956,760816.399,3352434.06,14.0
9078,5957,760266.899,3352433.56,27.0
8466,5955,759960.899,3352434.56,12.0
9549,5952,760502.399,3352436.06,13.0
10233,5949,760844.399,3352437.56,11.0
8636,5949,760045.899,3352437.56,15.0
9803,5949,760629.399,3352437.56,26.0
9579,5948,760517.399,3352438.06,12.5
9689,5946,760572.399,3352439.06,17.0
10014,5948,760734.899,3352438.06,33.0
9320,5945,760387.899,3352439.56,10.5
9173,5945,760314.399,3352439.56,18.5
10227,5940,760841.399,3352442.06,54.5
9749,5937,760602.399,3352443.56,11.5
9447,5937,760451.399,3352443.56,12.0
9399,5937,760427.399,3352443.56,23.5
9070,5936,760262.899,3352444.06,23.5
9438,5932,760446.899,3352446.06,11.0
9095,5932,760275.399,3352446.06,12.0
10049,5929,760752.399,3352447.56,12.5
10213,5926,760834.399,3352449.06,16.5
9975,5925,760715.399,3352449.56,17.5
9812,5927,760633.899,3352448.56,30.5
9806,5925,760630.899,3352449.56,20.5
9186,5919,760320.899,3352452.56,11.5
10082,5917,760768.899,3352453.56,12.0
9259,5918,760357.399,3352453.06,17.0
9222,5915,760338.899,3352454.56,10.5
8885,5908,760170.399,3352458.06,17.0
8483,5907,759969.399,3352458.56,21.0
10117,5906,760786.399,3352459.06,14.5
9908,5906,760681.899,3352459.06,19.5
10168,5905,760811.899,3352459.56,22.0
9796,5897,760625.899,3352463.56,26.0
9025,5896,760240.399,3352464.06,11.5
9089,5896,760272.399,3352464.06,42.0
9923,5891,760689.399,3352466.56,31.5
10220,5885,760837.899,3352469.56,19.5
9853,5885,760654.399,3352469.56,15.0
9604,5884,760529.899,3352470.06,11.5
9722,5883,760588.899,3352470.56,19.0
9532,5878,760493.899,3352473.06,22.5
10179,5875,760817.399,3352474.56,16.5
9665,5874,760560.399,3352475.06,11.5
9232,5874,760343.899,3352475.06,30.0
10086,5870,760770.899,3352477.06,12.0
8461,5869,759958.399,3352477.56,12.0
9839,5869,760647.399,3352477.56,15.0
8855,5867,760155.399,3352478.56,28.5
9504,5867,760479.899,3352478.56,12.5
9735,5867,760595.399,3352478.56,39.0
9765,5865,760610.399,3352479.56,11.5
9593,5865,760524.399,3352479.56,14.5
9061,5864,760258.399,3352480.06,15.5
9861,5863,760658.399,3352480.56,14.0
9144,5857,760299.899,3352483.56,12.5
9832,5854,760643.899,3352485.06,15.0
9659,5851,760557.399,3352486.56,13.5
9786,5848,760620.899,3352488.06,11.5
8462,5848,759958.899,3352488.06,10.5
8851,5841,760153.399,3352491.56,14.5
9156,5841,760305.899,3352491.56,14.5
9839,5839,760647.399,3352492.56,12.0
9375,5837,760415.399,3352493.56,11.0
9915,5836,760685.399,3352494.06,15.5
8521,5836,759988.399,3352494.06,19.5
9709,5835,760582.399,3352494.56,33.5
8516,5836,759985.899,3352494.06,32.5
8817,5831,760136.399,3352496.56,11.0
9417,5821,760436.399,3352501.56,13.5
9044,5822,760249.899,3352501.06,20.5
9822,5821,760638.899,3352501.56,11.0
9992,5819,760723.899,3352502.56,12.0
8531,5819,759993.399,3352502.56,16.0
8521,5819,759988.399,3352502.56,27.0
9174,5812,760314.899,3352506.06,11.0
9940,5811,760697.899,3352506.56,15.5
9310,5811,760382.899,3352506.56,38.0
9207,5807,760331.399,3352508.56,19.5
9878,5805,760666.899,3352509.56,15.0
10235,5803,760845.399,3352510.56,29.5
10064,5803,760759.899,3352510.56,12.5
9663,5793,760559.399,3352515.56,12.5
9121,5793,760288.399,3352515.56,14.0
9812,5793,760633.899,3352515.56,11.0
10010,5790,760732.899,3352517.06,12.0
10227,5789,760841.399,3352517.56,23.0
9326,5787,760390.899,3352518.56,11.0
8513,5783,759984.399,3352520.56,26.0
9705,5778,760580.399,3352523.06,30.5
8550,5783,760002.899,3352520.56,49.5
10065,5776,760760.399,3352524.06,13.0
9839,5771,760647.399,3352526.56,24.5
8558,5770,760006.899,3352527.06,24.5
10231,5765,760843.399,3352529.56,15.5
10221,5762,760838.399,3352531.06,15.5
9122,5762,760288.899,3352531.06,14.0
10232,5758,760843.899,3352533.06,15.0
9803,5757,760629.399,3352533.56,10.5
9731,5754,760593.399,3352535.06,34.0
9842,5753,760648.899,3352535.56,13.5
9038,5754,760246.899,3352535.06,15.0
9907,5751,760681.399,3352536.56,38.0
9891,5749,760673.399,3352537.56,28.0
9703,5738,760579.399,3352543.06,15.0
9818,5736,760636.899,3352544.06,11.5
8534,5736,759994.899,3352544.06,31.0
9748,5731,760601.899,3352546.56,16.0
9188,5732,760321.899,3352546.06,18.5
9404,5731,760429.899,3352546.56,42.0
9127,5731,760291.399,3352546.56,36.0
9839,5727,760647.399,3352548.56,17.5
8778,5725,760116.899,3352549.56,14.0
9471,5722,760463.399,3352551.06,11.5
9790,5721,760622.899,3352551.56,33.0
9178,5720,760316.899,3352552.06,18.0
9633,5718,760544.399,3352553.06,15.0
9482,5718,760468.899,3352553.06,13.5
9846,5716,760650.899,3352554.06,12.5
9834,5716,760644.899,3352554.06,17.5
9685,5714,760570.399,3352555.06,12.5
9956,5713,760705.899,3352555.56,16.0
9363,5708,760409.399,3352558.06,21.5
9227,5701,760341.399,3352561.56,36.0
9832,5696,760643.899,3352564.06,14.0
9153,5696,760304.399,3352564.06,31.5
10153,5689,760804.399,3352567.56,13.5
9970,5688,760712.899,3352568.06,15.0
9817,5686,760636.399,3352569.06,11.0
9150,5685,760302.899,3352569.56,15.0
9162,5685,760308.899,3352569.56,44.5
9103,5681,760279.399,3352571.56,11.0
8651,5677,760053.399,3352573.56,17.0
8519,5673,759987.399,3352575.56,11.5
10040,5672,760747.899,3352576.06,20.0
9100,5672,760277.899,3352576.06,11.0
9858,5669,760656.899,3352577.56,13.0
10108,5652,760781.899,3352586.06,15.0
8514,5650,759984.899,3352587.06,12.5
9201,5649,760328.399,3352587.56,18.0
9213,5648,760334.399,3352588.06,31.5
8617,5643,760036.399,3352590.56,12.0
10116,5641,760785.899,3352591.56,11.5
8664,5641,760059.899,3352591.56,13.5
9593,5638,760524.399,3352593.06,11.0
9281,5637,760368.399,3352593.56,13.5
8689,5631,760072.399,3352596.56,15.0
8524,5627,759989.899,3352598.56,11.5
8531,5627,759993.399,3352598.56,20.0
10105,5624,760780.399,3352600.06,19.0
9292,5620,760373.899,3352602.06,12.5
9166,5621,760310.899,3352601.56,17.5
10130,5625,760792.899,3352599.56,56.5
10172,5612,760813.899,3352606.06,15.0
9262,5612,760358.899,3352606.06,31.0
10134,5611,760794.899,3352606.56,24.5
10152,5608,760803.899,3352608.06,23.5
8706,5594,760080.899,3352615.06,22.0
10237,5590,760846.399,3352617.06,13.0
10176,5587,760815.899,3352618.56,22.0
10130,5581,760792.899,3352621.56,11.5
10126,5573,760790.899,3352625.56,24.0
8525,5570,759990.399,3352627.06,11.5
10132,5567,760793.899,3352628.56,11.0
10237,5554,760846.399,3352635.06,10.5
8212,5545,759833.899,3352639.56,14.5
8683,5545,760069.399,3352639.56,12.0
9320,5544,760387.899,3352640.06,24.0
9315,5539,760385.399,3352642.56,22.0
9985,5530,760720.399,3352647.06,18.0
8706,5528,760080.899,3352648.06,35.0
8824,5515,760139.899,3352654.56,25.0
9193,5484,760324.399,3352670.06,12.0
9195,5475,760325.399,3352674.56,11.0
9376,5473,760415.899,3352675.56,16.0
9397,5470,760426.399,3352677.06,17.5
9185,5469,760320.399,3352677.56,11.0
9095,5461,760275.399,3352681.56,16.5
9385,5459,760420.399,3352682.56,13.0
8433,5460,759944.399,3352682.06,12.0
8358,5459,759906.899,3352682.56,18.0
9112,5453,760283.899,3352685.56,18.5
8442,5452,759948.899,3352686.06,12.0
8415,5450,759935.399,3352687.06,19.5
9116,5448,760285.899,3352688.06,10.5
9521,5447,760488.399,3352688.56,22.0
8789,5450,760122.399,3352687.06,37.0
8367,5445,759911.399,3352689.56,10.5
8855,5445,760155.399,3352689.56,14.5
9055,5443,760255.399,3352690.56,14.0
9385,5443,760420.399,3352690.56,15.5
9084,5442,760269.899,3352691.06,17.5
8755,5444,760105.399,3352690.06,27.5
9372,5435,760413.899,3352694.56,13.0
8517,5429,759986.399,3352697.56,22.5
9441,5425,760448.399,3352699.56,23.5
8824,5422,760139.899,3352701.06,17.0
9479,5416,760467.399,3352704.06,17.5
9372,5415,760413.899,3352704.56,14.0
9314,5414,760384.899,3352705.06,11.0
9181,5413,760318.399,3352705.56,45.5
9466,5406,760460.899,3352709.06,14.0
8813,5407,760134.399,3352708.56,20.5
8438,5404,759946.899,3352710.06,10.5
8376,5403,759915.899,3352710.56,16.5
8426,5406,759940.899,3352709.06,89.5
8415,5400,759935.399,3352712.06,48.0
9452,5391,760453.899,3352716.56,28.0
8369,5383,759912.399,3352720.56,11.5
8412,5383,759933.899,3352720.56,19.0
9666,5379,760560.899,3352722.56,15.0
9488,5378,760471.899,3352723.06,14.0
9507,5375,760481.399,3352724.56,10.5
8777,5376,760116.399,3352724.06,11.5
8853,5375,760154.399,3352724.56,21.0
9456,5372,760455.899,3352726.06,14.5
9465,5369,760460.399,3352727.56,11.0
9190,5367,760322.899,3352728.56,26.0
9121,5366,760288.399,3352729.06,29.0
9524,5360,760489.899,3352732.06,13.0
9319,5360,760387.399,3352732.06,19.0
9138,5355,760296.899,3352734.56,17.0
9378,5349,760416.899,3352737.56,16.0
9176,5348,760315.899,3352738.06,10.5
9551,5344,760503.399,3352740.06,12.0
8930,5338,760192.899,3352743.06,14.0
9085,5336,760270.399,3352744.06,11.5
9491,5334,760473.399,3352745.06,18.5
9578,5327,760516.899,3352748.56,30.5
8847,5328,760151.399,3352748.06,22.5
9526,5321,760490.899,3352751.56,10.5
9089,5322,760272.399,3352751.06,25.0
9892,5318,760673.899,3352753.06,13.0
8820,5312,760137.899,3352756.06,16.5
9211,5310,760333.399,3352757.06,10.5
9236,5298,760345.899,3352763.06,24.5
8890,5297,760172.899,3352763.56,11.0
9405,5295,760430.399,3352764.56,18.0
9609,5281,760532.399,3352771.56,11.0
8377,5280,759916.399,3352772.06,48.0
8691,5275,760073.399,3352774.56,12.5
8256,5273,759855.899,3352775.56,12.0
9740,5267,760597.899,3352778.56,16.5
8444,5254,759949.899,3352785.06,28.0
8936,5253,760195.899,3352785.56,11.0
9519,5248,760487.399,3352788.06,14.5
9081,5248,760268.399,3352788.06,19.0
8660,5254,760057.899,3352785.06,160.5
9198,5242,760326.899,3352791.06,22.0
8931,5241,760193.399,3352791.56,22.5
8666,5233,760060.899,3352795.56,18.5
8364,5236,759909.899,3352794.06,29.5
8986,5229,760220.899,3352797.56,24.5
9190,5218,760322.899,3352803.06,15.0
8234,5215,759844.899,3352804.56,14.0
8670,5214,760062.899,3352805.06,17.5
8647,5214,760051.399,3352805.06,12.0
8989,5211,760222.399,3352806.56,12.5
9536,5204,760495.899,3352810.06,11.0
9260,5202,760357.899,3352811.06,15.5
10111,5199,760783.399,3352812.56,20.0
10233,5192,760844.399,3352816.06,11.5
9425,5185,760440.399,3352819.56,11.0
9772,5182,760613.899,3352821.06,14.0
8808,5179,760131.899,3352822.56,18.0
8775,5178,760115.399,3352823.06,13.5
10233,5173,760844.399,3352825.56,11.5
8821,5173,760138.399,3352825.56,21.5
8958,5171,760206.899,3352826.56,28.0
8990,5168,760222.899,3352828.06,33.5
9767,5161,760611.399,3352831.56,10.5
9643,5160,760549.399,3352832.06,16.5
9066,5152,760260.899,3352836.06,13.0
10150,5152,760802.899,3352836.06,19.0
8966,5139,760210.899,3352842.56,13.5
8514,5137,759984.899,3352843.56,13.0
8912,5117,760183.899,3352853.56,11.5
8976,5111,760215.899,3352856.56,23.0
8832,5104,760143.899,3352860.06,31.0
9314,5100,760384.899,3352862.06,14.0
9845,5099,760650.399,3352862.56,63.5
8819,5097,760137.399,3352863.56,29.5
8825,5088,760140.399,3352868.06,10.5
